"Timestamp","EmployeeID","UPN","Status","Enabled","Groups","SeededNote"
"2026-07-07T04:40:00.5319517+01:00","MC1001","sarah.chen@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-EHR-Users; APP-Scheduling-Users",""
"2026-07-07T04:40:03.5805512+01:00","MC1002","james.okafor@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-EHR-Users; APP-Scheduling-Users",""
"2026-07-07T04:40:06.5314261+01:00","MC1003","aisha.mueller@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-EHR-Users; APP-Scheduling-Users",""
"2026-07-07T04:40:09.5706667+01:00","MC1004","daniel.silva@Simedelonneynjebagmail.onmicrosoft.com","Terminated","True","APP-EHR-Users; APP-Scheduling-Users","SEEDED: orphaned account - still enabled in directory"
"2026-07-07T04:40:12.5933002+01:00","MC1005","mei.johansson@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-EHR-Users; APP-Scheduling-Users",""
"2026-07-07T04:40:15.7315306+01:00","MC1006","lucas.patel@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-EHR-Users; APP-Scheduling-Users",""
"2026-07-07T04:40:18.7478389+01:00","MC1007","priya.novak@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-EHR-Users; APP-Scheduling-Users",""
"2026-07-07T04:40:21.7484744+01:00","MC1008","tom.reyes@Simedelonneynjebagmail.onmicrosoft.com","Terminated","True","APP-EHR-Users; APP-Scheduling-Users","SEEDED: orphaned account - still enabled in directory"
"2026-07-07T04:40:24.7097234+01:00","MC1009","elena.kim@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-EHR-Users; APP-Scheduling-Users",""
"2026-07-07T04:40:28.2139361+01:00","MC1010","kwame.dubois@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-EHR-Users; APP-Scheduling-Users",""
"2026-07-07T04:40:31.2440561+01:00","MC1011","hannah.anderson@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-Billing-Users; APP-EHR-Users","SEEDED: privilege creep - former Nurse, retains APP-EHR-Users"
"2026-07-07T04:40:33.4723912+01:00","MC1012","omar.hassan@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-Billing-Users",""
